id,book,page_num,chapter,chapter_title,section_title,content_length,has_figures,has_equations,has_references,has_captions,n_drawings,n_raster_images,page_type,img_path,qc_status
1092,Fundamental_Neuroscience,591,24,Chemical Senses: Taste and Olfaction,OLFACTION,1631,t,f,f,t,1,1,mixed,/home/claude/bri610-tutor/data/textbook_images/FN/p0591.jpg,passed
1093,Fundamental_Neuroscience,592,24,Chemical Senses: Taste and Olfaction,OLFACTION,3129,t,f,f,t,6,3,mixed,/home/claude/bri610-tutor/data/textbook_images/FN/p0592.jpg,passed
1124,Fundamental_Neuroscience,623,25,Somatosensory System,THE TRIGEMINAL SYSTEM,5508,f,f,f,t,2,0,text,,passed
1464,Fundamental_Neuroscience,963,41,Circadian Timekeeping,THE MOLECULAR BASIS FOR CIRCADIAN OSCILLATION IS A TRANSCRIPTIONAL FEEDBACK LOOP,4252,f,f,f,f,5,0,text,,passed
1094,Fundamental_Neuroscience,593,24,Chemical Senses: Taste and Olfaction,OLFACTION,3167,t,f,f,t,77,1,mixed,/home/claude/bri610-tutor/data/textbook_images/FN/p0593.jpg,passed
1095,Fundamental_Neuroscience,594,24,Chemical Senses: Taste and Olfaction,OLFACTION,5193,f,f,f,t,1,0,text,,passed
1096,Fundamental_Neuroscience,595,24,Chemical Senses: Taste and Olfaction,OLFACTION,1239,t,f,f,t,427,0,mixed,/home/claude/bri610-tutor/data/textbook_images/FN/p0595.jpg,passed
1097,Fundamental_Neuroscience,596,24,Chemical Senses: Taste and Olfaction,OLFACTION,4501,t,f,f,t,1,1,mixed,/home/claude/bri610-tutor/data/textbook_images/FN/p0596.jpg,passed
1098,Fundamental_Neuroscience,597,24,Chemical Senses: Taste and Olfaction,PHEROMONE DETECTION,4949,t,t,f,t,215,0,mixed,/home/claude/bri610-tutor/data/textbook_images/FN/p0597.jpg,passed
1099,Fundamental_Neuroscience,598,24,Chemical Senses: Taste and Olfaction,PHEROMONE DETECTION,5255,f,f,f,f,1,0,text,,passed
1102,Fundamental_Neuroscience,601,24,Chemical Senses: Taste and Olfaction,Suggested Readings,671,f,f,f,f,1,0,text,,passed
1103,Fundamental_Neuroscience,602,25,Somatosensory System,PERIPHERAL MECHANISMS OF SOMATIC SENSATION,3570,f,f,f,t,3,0,text,,passed
1205,Fundamental_Neuroscience,704,29,The Spinal and Peripheral Motor System,CONNECTING THE SPINAL CORD TO THE PERIPHERY,4451,f,f,f,t,3,0,text,,passed
1206,Fundamental_Neuroscience,705,29,The Spinal and Peripheral Motor System,CONNECTING THE SPINAL CORD TO THE PERIPHERY,3352,t,f,f,t,21,1,mixed,/home/claude/bri610-tutor/data/textbook_images/FN/p0705.jpg,passed
1105,Fundamental_Neuroscience,604,25,Somatosensory System,PERIPHERAL MECHANISMS OF SOMATIC SENSATION,3805,f,f,f,t,4,0,text,,passed
1106,Fundamental_Neuroscience,605,25,Somatosensory System,PERIPHERAL MECHANISMS OF SOMATIC SENSATION,2564,t,f,f,t,1,1,mixed,/home/claude/bri610-tutor/data/textbook_images/FN/p0605.jpg,passed
